"Variables ->","gdp_eu","gdp_ge"
"Comments ->","Real Gross Domestic Product for Euro area (19 countries)","Real Gross Domestic Product for Germany"
"Class[Size] ->","Series[117-by-1]","Series[117-by-1]"
"1991Q1",NaN,5.13460800e+05
"1991Q2",NaN,5.10875300e+05
"1991Q3",NaN,5.09757300e+05
"1991Q4",NaN,5.16255900e+05
"1992Q1",NaN,5.24064600e+05
"1992Q2",NaN,5.20291300e+05
"1992Q3",NaN,5.19243200e+05
"1992Q4",NaN,5.17636100e+05
"1993Q1",NaN,5.13810200e+05
"1993Q2",NaN,5.13810200e+05
"1993Q3",NaN,5.16745000e+05
"1993Q4",NaN,5.16255900e+05
"1994Q1",NaN,5.23435900e+05
"1994Q2",NaN,5.24833400e+05
"1994Q3",NaN,5.28467000e+05
"1994Q4",NaN,5.34616000e+05
"1995Q1",1.83863170e+06,5.32816900e+05
"1995Q2",1.84859800e+06,5.36869800e+05
"1995Q3",1.85257660e+06,5.37778200e+05
"1995Q4",1.85902970e+06,5.37987800e+05
"1996Q1",1.86147840e+06,5.33568300e+05
"1996Q2",1.87561730e+06,5.40835300e+05
"1996Q3",1.88534510e+06,5.42652100e+05
"1996Q4",1.89401910e+06,5.46565100e+05
"1997Q1",1.89827300e+06,5.43647900e+05
"1997Q2",1.92269570e+06,5.50985100e+05
"1997Q3",1.93716410e+06,5.52662100e+05
"1997Q4",1.95881060e+06,5.56575200e+05
"1998Q1",1.97154750e+06,5.61798600e+05
"1998Q2",1.98059060e+06,5.59632500e+05
"1998Q3",1.99228020e+06,5.62287700e+05
"1998Q4",1.99554390e+06,5.59772200e+05
"1999Q1",2.01501870e+06,5.66270900e+05
"1999Q2",2.02675640e+06,5.66340800e+05
"1999Q3",2.05004480e+06,5.72769400e+05
"1999Q4",2.07413400e+06,5.77311300e+05
"2000Q1",2.09951410e+06,5.85522000e+05
"2000Q2",2.11783310e+06,5.90413600e+05
"2000Q3",2.13017530e+06,5.90203900e+05
"2000Q4",2.14419150e+06,5.88317200e+05
"2001Q1",2.16554140e+06,6.00178900e+05
"2001Q2",2.16761800e+06,5.99969300e+05
"2001Q3",2.17053640e+06,5.98781300e+05
"2001Q4",2.17322100e+06,5.98152500e+05
"2002Q1",2.17438100e+06,5.95060500e+05
"2002Q2",2.18641980e+06,5.97645800e+05
"2002Q3",2.19565590e+06,6.00720400e+05
"2002Q4",2.19937610e+06,5.99672200e+05
"2003Q1",2.19149680e+06,5.90797900e+05
"2003Q2",2.19364670e+06,5.91426800e+05
"2003Q3",2.20596260e+06,5.96038600e+05
"2003Q4",2.22235720e+06,5.97645800e+05
"2004Q1",2.23401500e+06,5.96667600e+05
"2004Q2",2.24704430e+06,5.99672200e+05
"2004Q3",2.25252820e+06,5.98484300e+05
"2004Q4",2.26078980e+06,5.97925300e+05
"2005Q1",2.26599630e+06,5.97873000e+05
"2005Q2",2.27963780e+06,6.01227100e+05
"2005Q3",2.29650600e+06,6.06188400e+05
