"Variables ->","ge_gdp","eu_gdp"
"Comments ->","Real Gross Domestic Product for Germany","Real Gross Domestic Product (Euro/ECU series) for European Union (28 countries)"
"Class[Size] ->","Series[115-by-1]","Series[115-by-1]"
"1991Q1",5.13460600e+05,NaN
"1991Q2",5.10875100e+05,NaN
"1991Q3",5.09757100e+05,NaN
"1991Q4",5.16255700e+05,NaN
"1992Q1",5.24064400e+05,NaN
"1992Q2",5.20291100e+05,NaN
"1992Q3",5.19243000e+05,NaN
"1992Q4",5.17635800e+05,NaN
"1993Q1",5.13810000e+05,NaN
"1993Q2",5.13810000e+05,NaN
"1993Q3",5.16744800e+05,NaN
"1993Q4",5.16255700e+05,NaN
"1994Q1",5.23435700e+05,NaN
"1994Q2",5.24833200e+05,NaN
"1994Q3",5.28466800e+05,NaN
"1994Q4",5.34615800e+05,NaN
"1995Q1",5.32816700e+05,2.40410150e+06
"1995Q2",5.36869500e+05,2.41748360e+06
"1995Q3",5.37778000e+05,2.42697430e+06
"1995Q4",5.37987600e+05,2.43533490e+06
"1996Q1",5.33568100e+05,2.44283380e+06
"1996Q2",5.40835100e+05,2.46048000e+06
"1996Q3",5.42651900e+05,2.47437370e+06
"1996Q4",5.46564900e+05,2.48524620e+06
"1997Q1",5.43647700e+05,2.49787930e+06
"1997Q2",5.50984800e+05,2.52793800e+06
"1997Q3",5.52661900e+05,2.54581830e+06
"1997Q4",5.56575000e+05,2.57447030e+06
"1998Q1",5.61798400e+05,2.59325900e+06
"1998Q2",5.59632200e+05,2.60634080e+06
"1998Q3",5.62287500e+05,2.62275530e+06
"1998Q4",5.59772000e+05,2.63181590e+06
"1999Q1",5.66270700e+05,2.65491460e+06
"1999Q2",5.66340500e+05,2.66918360e+06
"1999Q3",5.72769100e+05,2.70295520e+06
"1999Q4",5.77311000e+05,2.73692460e+06
"2000Q1",5.85521700e+05,2.76689330e+06
"2000Q2",5.90413300e+05,2.79097460e+06
"2000Q3",5.90203700e+05,2.80560560e+06
"2000Q4",5.88317000e+05,2.82262360e+06
"2001Q1",6.00178700e+05,2.84983970e+06
"2001Q2",5.99969000e+05,2.85664990e+06
"2001Q3",5.98781100e+05,2.86560840e+06
"2001Q4",5.98152200e+05,2.87175710e+06
"2002Q1",5.95060200e+05,2.87565100e+06
"2002Q2",5.97645600e+05,2.89240890e+06
"2002Q3",6.00720200e+05,2.90706600e+06
"2002Q4",5.99672000e+05,2.91610050e+06
"2003Q1",5.90797700e+05,2.91369720e+06
"2003Q2",5.91426500e+05,2.92202820e+06
