,A,B,C,D
1/1/2008,67.4,15.6,133.8,54.8
1/2/2008,70,15.8,133.2,54.5
1/3/2008,75.3,16.3,135,59.9
1/4/2008,80.2,17.3,135,60.8
1/5/2008,,,,
1/6/2008,,,,
1/7/2008,89.8,16.4,152.1,72
1/8/2008,94,20.5,155,70.2
1/9/2008,106.7,22.2,165,79.5
1/10/2008,112,29.3,169.1,82.2
1/11/2008,112.5,31.2,161.7,79.9
1/12/2008,,,,
1/13/2008,,,,
1/14/2008,110.2,32,161.7,79.3
1/15/2008,104.7,31.2,150,76.4
1/16/2008,105,31,152.7,77.3
1/17/2008,94.4,30.5,150.5,78.3
1/18/2008,95,31.1,155,80
1/19/2008,,,,
1/20/2008,,,,
1/21/2008,97.1,31.8,156.9,82.9
1/22/2008,103.5,33.5,168.3,87.5
1/23/2008,102.2,31.2,165,84.4
1/24/2008,93.2,30.5,157.3,80.2
1/25/2008,84.7,30,150,75.8
1/26/2008,,,,
1/27/2008,,,,
1/28/2008,91,29.5,154.7,78.6
1/29/2008,86.9,28.8,155.2,76.8
1/30/2008,88.7,25.1,159.2,76.6
1/31/2008,92.5,31,165,79.5
2/1/2008,95,30.5,169.8,79
2/2/2008,,,,
2/3/2008,,,,
2/4/2008,91.5,26.8,170,78.5
2/5/2008,98.8,26.5,183.5,80.7
2/6/2008,102.6,29.2,190,92
2/7/2008,111.5,29.9,197,109.3
2/8/2008,112.4,34.8,208.3,120.7
2/9/2008,,,,
2/10/2008,,,,
2/11/2008,111.2,36.5,210,119.7
2/12/2008,108.1,36.5,217.8,105.5
2/13/2008,101.7,35.8,207.5,100.9
2/14/2008,91.7,35.8,205,102.8
2/15/2008,95.2,37,211.8,115.4
2/16/2008,,,,
2/17/2008,,,,
2/18/2008,95.2,37,210.2,114.5
2/19/2008,99.3,37.4,214.5,117
2/20/2008,102.9,40.7,222.4,119.8
2/21/2008,95,44.8,215.3,108.7
2/22/2008,96,41.2,214.8,114
2/23/2008,,,,
2/24/2008,,,,
2/25/2008,95.2,40.5,215.3,114.2
2/26/2008,92.2,39.8,214.2,112.7
2/27/2008,92.2,37.8,215.7,112
2/28/2008,94.5,39.1,218.7,115.9
2/29/2008,99.4,45,229.2,132.7
3/1/2008,,,,
3/2/2008,,,,
3/3/2008,106.2,45.9,232.5,145.8
3/4/2008,108.5,46.3,229.2,152
3/5/2008,107.7,46.1,227.1,150.5
3/6/2008,106.5,49.1,233.5,153.5
3/7/2008,125.8,51.7,242.7,171.2
3/8/2008,,,,
3/9/2008,,,,
3/10/2008,130,49.5,245,185
3/11/2008,140,49.9,254.2,190.2
3/12/2008,137.7,53,256.2,184.8
3/13/2008,156.2,66.2,270,196.8
3/14/2008,155.5,63,270,201.5
3/15/2008,,,,
3/16/2008,,,,
3/17/2008,160.8,65,280,210.7
3/18/2008,150.6,57.5,268.3,190
3/19/2008,135.1,55,256.7,167
3/20/2008,130.8,51.5,259.5,165
3/21/2008,130.8,51.5,259.8,165.2
3/22/2008,,,,
3/23/2008,,,,
3/24/2008,128.8,50.7,264.7,168.3
3/25/2008,119,48.3,250,154.8
3/26/2008,120,48,251.7,164.7
3/27/2008,115.4,48,254.2,164.3
3/28/2008,120,49.3,254.9,168.2
3/29/2008,,,,
3/30/2008,,,,
3/31/2008,130,51.3,265.8,175.8
4/1/2008,123.2,51.6,260,168.7
4/2/2008,120,50.5,255.5,161.2
4/3/2008,113,46,250.8,158.5
4/4/2008,107.7,41.7,242.5,151.8
4/5/2008,,,,
4/6/2008,,,,
4/7/2008,100,39.6,232.8,143.7
4/8/2008,105,38.5,226.1,145.7
4/9/2008,106.8,40.2,225.8,144
4/10/2008,102.5,40.1,210.7,141.5
4/11/2008,97.7,39.7,206.8,139.8
4/12/2008,,,,
4/13/2008,,,,
4/14/2008,98.3,40.3,205,143.6
4/15/2008,98,42.5,205.7,143.5
4/16/2008,96.7,41.6,197.1,140.4
4/17/2008,94,,192.5,135.7
4/18/2008,86.8,,187.6,130.7
4/19/2008,,,,
4/20/2008,,,,
4/21/2008,89.2,,197.5,132
4/22/2008,90,,195.9,131
4/23/2008,89.2,,195.2,125.5
4/24/2008,86,,182.7,121.8
4/25/2008,82.8,,180.5,117.5
4/26/2008,,,,
4/27/2008,,,,
4/28/2008,78.7,,176.2,111.5
4/29/2008,77.5,26,185.5,114.8
4/30/2008,82.8,26.3,186.1,113.1
5/1/2008,82.9,26,180,110.1
5/2/2008,83,25,173.5,103.5
5/3/2008,,,,
5/4/2008,,,,
5/5/2008,83.7,25.2,173.5,103.5
5/6/2008,79.3,25.2,170,102.2
5/7/2008,80,25.5,165,99.7
5/8/2008,82.8,26.2,167.5,100.9
5/9/2008,82.8,26.9,165.4,102.3
5/10/2008,,,,
5/11/2008,,,,
5/12/2008,82.5,26.8,165.8,100.2
5/13/2008,82.7,26.7,165,100.2
5/14/2008,,,,
5/15/2008,80.2,,170,100.6
5/16/2008,79.7,,165,94.8
5/17/2008,,,,
5/18/2008,,,,
5/19/2008,74.7,,153.4,88.3
5/20/2008,70,,150.3,90.2
5/21/2008,70,,152.8,87.3
5/22/2008,73.2,,167.5,94.3
5/23/2008,77.6,,170,100
5/24/2008,,,,
5/25/2008,,,,
5/26/2008,77.2,,172,101.2
5/27/2008,80,,178.3,102.4
5/28/2008,76.7,,174.5,99.1
5/29/2008,75,27.5,175.5,95.1
5/30/2008,74.7,25.5,175.3,94.5
5/31/2008,,,,
6/1/2008,,,,
6/2/2008,75,26.4,175.7,94.8
6/3/2008,76,25.8,176,96.3
6/4/2008,80,26.2,178.3,96.8
6/5/2008,79.7,25,177.2,95.8
6/6/2008,79.6,25.5,178.2,107.3
6/7/2008,,,,
6/8/2008,,,,
6/9/2008,83.3,28.7,174.1,111
6/10/2008,83.2,30,181.1,121.7
6/11/2008,81.2,28.2,176.3,120.3
6/12/2008,81,27.5,176,116.8
6/13/2008,82.2,27.5,175,115.4
6/14/2008,,,,
6/15/2008,,,,
6/16/2008,78.2,27.5,179.7,112.7
6/17/2008,79.6,27.5,179.3,114.7
6/18/2008,80.5,27,182.7,116.7
6/19/2008,80.1,29,185,116.8
6/20/2008,80.7,28,189,120.7
6/21/2008,,,,
6/22/2008,,,,
6/23/2008,82.8,28.6,191.9,120.8
6/24/2008,85,27,195.1,124.7
6/25/2008,85,28,192.2,121.8
6/26/2008,86.8,28,194,122.5
6/27/2008,93.3,31.5,200.8,134.3
6/28/2008,,,,
6/29/2008,,,,
6/30/2008,94.9,29,210.5,133.8
7/1/2008,95,29.5,213.9,136.2
7/2/2008,95.1,29.9,210.8,135.1
7/3/2008,98.5,31.1,220,137.6
7/4/2008,100,34.5,217.5,135.6
7/5/2008,,,,
7/6/2008,,,,
7/7/2008,95.8,33.5,221,133.8
7/8/2008,96.3,33.5,230,136.8
7/9/2008,90,32.5,225.3,119.7
7/10/2008,89,32.5,225,121.8
7/11/2008,85.9,32.5,227.1,123.1
7/12/2008,,,,
7/13/2008,,,,
7/14/2008,84.1,32.5,225,119.8
7/15/2008,87.6,34.3,233,122
