"Variables ->", "x"
"Comments ->", ""
"Class[Size] ->", "Series[574-by-1]"
"2000W01", 8.14700000e+01
"2000W02", 9.05800000e+01
"2000W03", 1.27000000e+01
"2000W04", 9.13400000e+01
"2000W05", 6.32400000e+01
"2000W06", 9.75000000e+00
"2000W07", 2.78500000e+01
"2000W08", 5.46900000e+01
"2000W09", 9.57500000e+01
"2000W10", 9.64900000e+01
"2000W11", 1.57600000e+01
"2000W12", 9.70600000e+01
"2000W13", 9.57200000e+01
"2000W14", 4.85400000e+01
"2000W15", 8.00300000e+01
"2000W16", 1.41900000e+01
"2000W17", 4.21800000e+01
"2000W18", 9.15700000e+01
"2000W19", 7.92200000e+01
"2000W20", 9.59500000e+01
"2000W21", 6.55700000e+01
"2000W22", 3.57000000e+00
"2000W23", 8.49100000e+01
"2000W24", 9.34000000e+01
"2000W25", 6.78700000e+01
"2000W26", 7.57700000e+01
"2000W27", 7.43100000e+01
"2000W28", 3.92200000e+01
"2000W29", 6.55500000e+01
"2000W30", 1.71200000e+01
"2000W31", 7.06000000e+01
"2000W32", 3.18000000e+00
"2000W33", 2.76900000e+01
"2000W34", 4.62000000e+00
"2000W35", 9.71000000e+00
"2000W36", 8.23500000e+01
"2000W37", 6.94800000e+01
"2000W38", 3.17100000e+01
"2000W39", 9.50200000e+01
"2000W40", 3.44000000e+00
"2000W41", 4.38700000e+01
"2000W42", 3.81600000e+01
"2000W43", 7.65500000e+01
"2000W44", 7.95200000e+01
"2000W45", 1.86900000e+01
"2000W46", 4.89800000e+01
"2000W47", 4.45600000e+01
"2000W48", 6.46300000e+01
"2000W49", 7.09400000e+01
"2000W50", 7.54700000e+01
"2000W51", 2.76000000e+01
"2000W52", 6.79700000e+01
"2001W01", 6.55100000e+01
"2001W02", 1.62600000e+01
"2001W03", 1.19000000e+01
"2001W04", 4.98400000e+01
"2001W05", 9.59700000e+01
"2001W06", 3.40400000e+01
"2001W07", 5.85300000e+01
"2001W08", 2.23800000e+01
"2001W09", 7.51300000e+01
"2001W10", 2.55100000e+01
"2001W11", 5.06000000e+01
"2001W12", 6.99100000e+01
"2001W13", 8.90900000e+01
"2001W14", 9.59300000e+01
"2001W15", 5.47200000e+01
"2001W16", 1.38600000e+01
"2001W17", 1.49300000e+01
"2001W18", 2.57500000e+01
"2001W19", 8.40700000e+01
"2001W20", 2.54300000e+01
"2001W21", 8.14300000e+01
"2001W22", 2.43500000e+01
"2001W23", 9.29300000e+01
"2001W24", 3.50000000e+01
"2001W25", 1.96600000e+01
"2001W26", 2.51100000e+01
"2001W27", 6.16000000e+01
"2001W28", 4.73300000e+01
"2001W29", 3.51700000e+01
"2001W30", 8.30800000e+01
"2001W31", 5.85300000e+01
"2001W32", 5.49700000e+01
"2001W33", 9.17200000e+01
"2001W34", 2.85800000e+01
"2001W35", 7.57200000e+01
"2001W36", 7.53700000e+01
"2001W37", 3.80400000e+01
"2001W38", 5.67800000e+01
"2001W39", 7.59000000e+00
"2001W40", 5.40000000e+00
"2001W41", 5.30800000e+01
"2001W42", 7.79200000e+01
"2001W43", 9.34000000e+01
"2001W44", 1.29900000e+01
"2001W45", 5.68800000e+01
"2001W46", 4.69400000e+01
"2001W47", 1.19000000e+00
"2001W48", 3.37100000e+01
"2001W49", 1.62200000e+01
"2001W50", 7.94300000e+01
"2001W51", 3.11200000e+01
"2001W52", 5.28500000e+01
"2002W01", 1.65600000e+01
"2002W02", 6.02000000e+01
