"Variables ->","x"
"Comments ->"
"Class[Size] ->","Series[574-by-1]"
"2000-01-06",8.14700000e+01
"2000-01-13",9.05800000e+01
"2000-01-20",1.27000000e+01
"2000-01-27",9.13400000e+01
"2000-02-03",6.32400000e+01
"2000-02-10",9.75000000e+00
"2000-02-17",2.78500000e+01
"2000-02-24",5.46900000e+01
"2000-03-02",9.57500000e+01
"2000-03-09",9.64900000e+01
"2000-03-16",1.57600000e+01
"2000-03-23",9.70600000e+01
"2000-03-30",9.57200000e+01
"2000-04-06",4.85400000e+01
"2000-04-13",8.00300000e+01
"2000-04-20",1.41900000e+01
"2000-04-27",4.21800000e+01
"2000-05-04",9.15700000e+01
"2000-05-11",7.92200000e+01
"2000-05-18",9.59500000e+01
"2000-05-25",6.55700000e+01
"2000-06-01",3.57000000e+00
"2000-06-08",8.49100000e+01
"2000-06-15",9.34000000e+01
"2000-06-22",6.78700000e+01
"2000-06-29",7.57700000e+01
"2000-07-06",7.43100000e+01
"2000-07-13",3.92200000e+01
"2000-07-20",6.55500000e+01
"2000-07-27",1.71200000e+01
"2000-08-03",7.06000000e+01
"2000-08-10",3.18000000e+00
"2000-08-17",2.76900000e+01
"2000-08-24",4.62000000e+00
"2000-08-31",9.71000000e+00
"2000-09-07",8.23500000e+01
"2000-09-14",6.94800000e+01
"2000-09-21",3.17100000e+01
"2000-09-28",9.50200000e+01
"2000-10-05",3.44000000e+00
"2000-10-12",4.38700000e+01
"2000-10-19",3.81600000e+01
"2000-10-26",7.65500000e+01
"2000-11-02",7.95200000e+01
"2000-11-09",1.86900000e+01
"2000-11-16",4.89800000e+01
"2000-11-23",4.45600000e+01
"2000-11-30",6.46300000e+01
"2000-12-07",7.09400000e+01
"2000-12-14",7.54700000e+01
"2000-12-21",2.76000000e+01
"2000-12-28",6.79700000e+01
"2001-01-04",6.55100000e+01
"2001-01-11",1.62600000e+01
"2001-01-18",1.19000000e+01
"2001-01-25",4.98400000e+01
"2001-02-01",9.59700000e+01
"2001-02-08",3.40400000e+01
"2001-02-15",5.85300000e+01
"2001-02-22",2.23800000e+01
"2001-03-01",7.51300000e+01
"2001-03-08",2.55100000e+01
"2001-03-15",5.06000000e+01
"2001-03-22",6.99100000e+01
"2001-03-29",8.90900000e+01
"2001-04-05",9.59300000e+01
"2001-04-12",5.47200000e+01
"2001-04-19",1.38600000e+01
"2001-04-26",1.49300000e+01
"2001-05-03",2.57500000e+01
"2001-05-10",8.40700000e+01
"2001-05-17",2.54300000e+01
"2001-05-24",8.14300000e+01
"2001-05-31",2.43500000e+01
"2001-06-07",9.29300000e+01
"2001-06-14",3.50000000e+01
"2001-06-21",1.96600000e+01
"2001-06-28",2.51100000e+01
"2001-07-05",6.16000000e+01
"2001-07-12",4.73300000e+01
"2001-07-19",3.51700000e+01
"2001-07-26",8.30800000e+01
"2001-08-02",5.85300000e+01
"2001-08-09",5.49700000e+01
"2001-08-16",9.17200000e+01
"2001-08-23",2.85800000e+01
"2001-08-30",7.57200000e+01
"2001-09-06",7.53700000e+01
"2001-09-13",3.80400000e+01
"2001-09-20",5.67800000e+01
"2001-09-27",7.59000000e+00
"2001-10-04",5.40000000e+00
"2001-10-11",5.30800000e+01
"2001-10-18",7.79200000e+01
"2001-10-25",9.34000000e+01
"2001-11-01",1.29900000e+01
"2001-11-08",5.68800000e+01
"2001-11-15",4.69400000e+01
"2001-11-22",1.19000000e+00
"2001-11-29",3.37100000e+01
