__yearly__,u,,__monthly__,z,*,,__daily__,x,y,,__nan__,n,*,,
,,,,c,d,,,a,b,,,,,,
2020Y,13,,2021M01,100,,,2020-Jan-01,1,0,,,,,,
2021Y,14,,2021M02,200,,,2020-Jan-02,2,,,,,,,
2022Y,15,,2021M03,300,,,2020-Jan-03,3,,,,,,,
,,,2021M04,400,,,2020-Jan-04,4,,,,,,,
,,,2021M05,500,,,2020-Jan-05,5,,,,,,,
,,,2021M06,600,,,2020-Jan-06,6,,,,,,,
,,,2021M07,700,,,2020-Jan-07,7,,,,,,,
,,,2021M08,800,,,2020-Jan-08,8,,,,,,,
,,,2021M09,900,,,2020-Jan-09,9,,,,,,,
,,,2021M10,1000,,,2020-Jan-10,10,,,,,,,
,,,2021M11,1100,,,2020-Jan-11,11,,,,,,,
,,,2021M12,1200,,,2020-Jan-12,12,,,,,,,
,,,2022M01,1300,,,2020-Jan-13,13,,,,,,,
,,,2022M02,1400,,,2020-Jan-14,14,,,,,,,
,,,2022M03,1500,,,2020-Jan-15,15,,,,,,,
,,,2022M04,1600,,,2020-Jan-16,16,,,,,,,
,,,2022M05,1700,,,2020-Jan-17,17,0,,,,,,
,,,2022M06,1800,,,,,,,,,,,
,,,2022M07,1900,,,,,,,,,,,EOF
