"Variables ->","x","a"
"Comments ->","",""
"Class[Size] ->","Series[20-by-1]","double[1-by-1]"
"2001Q1",3.65236483e-01,2.00000000e+00
"2001Q2",5.98590501e-01,NaN
"2001Q3",6.68487146e-01,NaN
"2001Q4",8.94564091e-01,NaN
"2002Q1",8.73355239e-02,NaN
"2002Q2",5.39010349e-01,NaN
"2002Q3",4.28449936e-01,NaN
"2002Q4",6.17153494e-01,NaN
"2003Q1",5.58875877e-01,NaN
"2003Q2",2.25850688e-01,NaN
"2003Q3",1.04519530e-01,NaN
"2003Q4",9.97765605e-03,NaN
"2004Q1",5.91533041e-02,NaN
"2004Q2",3.22652371e-01,NaN
"2004Q3",7.79476507e-01,NaN
"2004Q4",3.35478586e-01,NaN
"2005Q1",6.19568613e-01,NaN
"2005Q2",9.92885717e-01,NaN
"2005Q3",6.48005695e-01,NaN
"2005Q4",5.39775820e-01,NaN
