"Variables ->","ge_gdp","fr_gdp","eu_gdp"
"Comments ->","Real Gross Domestic Product for Germany","Real Gross Domestic Product for France","Real Gross Domestic Product (Euro/ECU series) for European Union (28 countries)"
"Class[Size] ->","Series[180-by-1]","Series[180-by-1]","Series[180-by-1]"
"1975Q1",NaN,2.37727000e+05,NaN
"1975Q2",NaN,2.37076000e+05,NaN
"1975Q3",NaN,2.37162000e+05,NaN
"1975Q4",NaN,2.42059000e+05,NaN
"1976Q1",NaN,2.44436000e+05,NaN
"1976Q2",NaN,2.47810000e+05,NaN
"1976Q3",NaN,2.50549000e+05,NaN
"1976Q4",NaN,2.52236000e+05,NaN
"1977Q1",NaN,2.55139000e+05,NaN
"1977Q2",NaN,2.55962000e+05,NaN
"1977Q3",NaN,2.58288000e+05,NaN
"1977Q4",NaN,2.60391000e+05,NaN
"1978Q1",NaN,2.63824000e+05,NaN
"1978Q2",NaN,2.66635000e+05,NaN
"1978Q3",NaN,2.68767000e+05,NaN
"1978Q4",NaN,2.71679000e+05,NaN
"1979Q1",NaN,2.74054000e+05,NaN
"1979Q2",NaN,2.75524000e+05,NaN
"1979Q3",NaN,2.79153000e+05,NaN
"1979Q4",NaN,2.79886000e+05,NaN
"1980Q1",NaN,2.80823400e+05,NaN
"1980Q2",NaN,2.79404200e+05,NaN
"1980Q3",NaN,2.79447700e+05,NaN
"1980Q4",NaN,2.79075700e+05,NaN
"1981Q1",NaN,2.80261100e+05,NaN
"1981Q2",NaN,2.81783700e+05,NaN
"1981Q3",NaN,2.83833800e+05,NaN
"1981Q4",NaN,2.85159300e+05,NaN
"1982Q1",NaN,2.87674100e+05,NaN
"1982Q2",NaN,2.89590800e+05,NaN
"1982Q3",NaN,2.89673000e+05,NaN
"1982Q4",NaN,2.91411000e+05,NaN
"1983Q1",NaN,2.92750000e+05,NaN
"1983Q2",NaN,2.92708500e+05,NaN
"1983Q3",NaN,2.93192500e+05,NaN
"1983Q4",NaN,2.94462000e+05,NaN
"1984Q1",NaN,2.96453100e+05,NaN
"1984Q2",NaN,2.97467500e+05,NaN
"1984Q3",NaN,2.98953400e+05,NaN
"1984Q4",NaN,2.99733000e+05,NaN
"1985Q1",NaN,3.00282800e+05,NaN
"1985Q2",NaN,3.02388900e+05,NaN
"1985Q3",NaN,3.04357800e+05,NaN
"1985Q4",NaN,3.05377000e+05,NaN
"1986Q1",NaN,3.06590500e+05,NaN
"1986Q2",NaN,3.09901300e+05,NaN
"1986Q3",NaN,3.11184300e+05,NaN
"1986Q4",NaN,3.12142700e+05,NaN
"1987Q1",NaN,3.12688500e+05,NaN
"1987Q2",NaN,3.16386800e+05,NaN
"1987Q3",NaN,3.18642700e+05,NaN
"1987Q4",NaN,3.24115700e+05,NaN
"1988Q1",NaN,3.27750200e+05,NaN
"1988Q2",NaN,3.29978000e+05,NaN
"1988Q3",NaN,3.34378600e+05,NaN
"1988Q4",NaN,3.37921300e+05,NaN
"1989Q1",NaN,3.42015700e+05,NaN
"1989Q2",NaN,3.44709200e+05,NaN
"1989Q3",NaN,3.48850900e+05,NaN
"1989Q4",NaN,3.53848600e+05,NaN
"1990Q1",NaN,3.55378000e+05,NaN
"1990Q2",NaN,3.57516900e+05,NaN
"1990Q3",NaN,3.58828900e+05,NaN
"1990Q4",NaN,3.59827800e+05,NaN
"1991Q1",5.13460800e+05,3.59124500e+05,NaN
"1991Q2",5.10875300e+05,3.61248000e+05,NaN
"1991Q3",5.09757300e+05,3.61917500e+05,NaN
"1991Q4",5.16255900e+05,3.63546400e+05,NaN
"1992Q1",5.24064600e+05,3.66993500e+05,NaN
"1992Q2",5.20291300e+05,3.67170300e+05,NaN
"1992Q3",5.19243200e+05,3.66897800e+05,NaN
"1992Q4",5.17636100e+05,3.66316200e+05,NaN
"1993Q1",5.13810200e+05,3.63877800e+05,NaN
"1993Q2",5.13810200e+05,3.64140600e+05,NaN
"1993Q3",5.16745000e+05,3.64757900e+05,NaN
"1993Q4",5.16255900e+05,3.65445800e+05,NaN
"1994Q1",5.23435900e+05,3.68106400e+05,NaN
"1994Q2",5.24833400e+05,3.72169900e+05,NaN
"1994Q3",5.28467000e+05,3.74382300e+05,NaN
"1994Q4",5.34616000e+05,3.77650600e+05,NaN
"1995Q1",5.32816900e+05,3.79607900e+05,2.40403290e+06
"1995Q2",5.36869800e+05,3.81199100e+05,2.41750650e+06
