Data Source in SDW: https://sdw.ecb.europa.eu/browseTable.do?org.apache.struts.taglib.html.TOKEN=26115b3c935d725868b81f3bea5fd40c&df=true&ec=&dc=&oc=&pb=&rc=&DATASET=0&removeItem=&removedItemList=&mergeFilter=&activeTab=STS&showHide=&FREQ.44=M&REF_AREA.44=DE&REF_AREA.44=I8&MAX_DOWNLOAD_SERIES=500&SERIES_MAX_NUM=50&node=9691246&legendRef=reference&legendNor=&SERIES_KEY=132.STS.M.I8.S.UNEH.RTT000.4.000&SERIES_KEY=132.STS.M.DE.S.UNEH.RTT000.4.000&SERIES_KEY=132.STS.M.I8.N.UNEH.RTT000.4.000&trans=N&periodSortOrder=ASC
,STS.M.DE.S.UNEH.RTT000.4.000,STS.M.I8.N.UNEH.RTT000.4.000,STS.M.I8.S.UNEH.RTT000.4.000
,"Germany, Seasonally adjusted, not working day adjusted","Euro area 19 (fixed composition) as of 1 January 2015, Neither seasonally nor working day adjusted","Euro area 19 (fixed composition) as of 1 January 2015, Seasonally adjusted, not working day adjusted"
Collection:,Average of observations through period (A),Average of observations through period (A),Average of observations through period (A)
Period\Unit:,[Percent ],[Percent ],[Percent ]
2010Jan,7.400000,10.670000,10.160000
2010Feb,7.340000,10.810000,10.220000
2010Mar,7.270000,10.620000,10.230000
2010Apr,7.160000,10.420000,10.310000
2010May,7.040000,10.180000,10.300000
2010Jun,6.920000,9.890000,10.260000
2010Jul,6.840000,9.800000,10.190000
2010Aug,6.790000,9.700000,10.190000
2010Sep,6.750000,9.960000,10.190000
2010Oct,6.700000,10.220000,10.190000
2010Nov,6.630000,10.180000,10.140000
2010Dec,6.520000,10.180000,10.130000
2011Jan,6.380000,10.510000,10.090000
2011Feb,6.220000,10.510000,10.030000
2011Mar,6.090000,10.420000,10.010000
2011Apr,5.980000,9.960000,9.950000
2011May,5.900000,9.880000,9.990000
2011Jun,5.840000,9.710000,10.040000
2011Jul,5.790000,9.740000,10.150000
2011Aug,5.740000,9.860000,10.240000
2011Sep,5.680000,10.050000,10.380000
2011Oct,5.620000,10.360000,10.470000
2011Nov,5.560000,10.730000,10.610000
2011Dec,5.510000,10.770000,10.720000
2012Jan,5.470000,11.330000,10.780000
2012Feb,5.440000,11.470000,10.920000
2012Mar,5.430000,11.490000,11.080000
2012Apr,5.430000,11.290000,11.210000
2012May,5.430000,11.210000,11.300000
2012Jun,5.420000,11.030000,11.390000
2012Jul,5.380000,11.030000,11.460000
2012Aug,5.340000,11.010000,11.510000
2012Sep,5.300000,11.290000,11.600000
2012Oct,5.290000,11.720000,11.740000
2012Nov,5.310000,11.940000,11.820000
2012Dec,5.330000,11.840000,11.890000
2013Jan,5.360000,12.620000,12.020000
2013Feb,5.370000,12.700000,12.060000
2013Mar,5.350000,12.460000,12.050000
2013Apr,5.320000,12.200000,12.090000
2013May,5.280000,11.970000,12.070000
2013Jun,5.240000,11.650000,12.070000
2013Jul,5.210000,11.570000,12.050000
2013Aug,5.180000,11.500000,12.010000
2013Sep,5.160000,11.780000,12.030000
2013Oct,5.140000,11.960000,11.960000
2013Nov,5.130000,12.080000,11.920000
2013Dec,5.140000,11.820000,11.890000
2014Jan,5.130000,12.440000,11.910000
2014Feb,5.110000,12.440000,11.870000
2014Mar,5.080000,12.200000,11.800000
2014Apr,5.040000,11.800000,11.710000
2014May,5.000000,11.540000,11.660000
2014Jun,4.980000,11.080000,11.520000
2014Jul,4.980000,11.040000,11.580000
2014Aug,4.990000,11.010000,11.460000
2014Sep,5.000000,11.310000,11.510000
2014Oct,4.980000,11.550000,11.520000
2014Nov,4.930000,11.800000,11.520000
2014Dec,4.860000,11.290000,11.350000
2015Jan,4.800000,11.630000,11.270000
2015Feb,4.760000,11.740000,11.190000
2015Mar,4.740000,11.580000,11.190000
2015Apr,4.720000,11.180000,11.100000
2015May,4.700000,10.920000,11.040000
2015Jun,4.660000,10.700000,10.990000
2015Jul,4.610000,10.320000,10.770000
2015Aug,4.570000,10.140000,10.650000
2015Sep,4.540000,10.380000,10.610000
2015Oct,4.510000,10.630000,10.600000
2015Nov,4.490000,10.660000,10.490000
2015Dec,4.450000,10.530000,10.460000
2016Jan,4.400000,10.700000,10.360000
2016Feb,4.350000,10.800000,10.360000
2016Mar,4.310000,10.600000,10.240000
2016Apr,4.280000,10.260000,10.230000
2016May,4.260000,10.060000,10.160000
2016Jun,4.230000,9.800000,10.100000
2016Jul,4.190000,9.580000,9.970000
2016Aug,4.120000,9.530000,9.890000
2016Sep,4.050000,9.620000,9.860000
2016Oct,3.970000,9.790000,9.770000
2016Nov,3.920000,9.930000,9.770000
2016Dec,3.890000,9.620000,9.640000
2017Jan,3.870000,9.950000,9.550000
2017Feb,3.870000,9.900000,9.430000
2017Mar,3.860000,9.700000,9.370000
2017Apr,3.850000,9.320000,9.220000
2017May,3.830000,9.040000,9.190000
2017Jun,3.800000,8.670000,9.060000
2017Jul,3.760000,8.690000,9.050000
2017Aug,3.730000,8.690000,8.980000
2017Sep,3.690000,8.680000,8.880000
2017Oct,3.640000,8.790000,8.780000
2017Nov,3.600000,8.750000,8.710000
2017Dec,3.550000,8.620000,8.640000
2018Jan,3.510000,9.000000,8.610000
2018Feb,3.490000,8.960000,8.520000
2018Mar,3.460000,8.760000,8.450000
2018Apr,3.450000,8.510000,8.380000
2018May,3.440000,8.120000,8.260000
2018Jun,3.430000,7.930000,8.220000
2018Jul,3.420000,7.760000,8.100000
2018Aug,3.390000,7.700000,8.040000
2018Sep,3.360000,7.800000,8.000000
2018Oct,3.320000,8.020000,8.000000
2018Nov,3.290000,7.970000,7.900000
2018Dec,3.250000,7.770000,7.830000
2019Jan,3.230000,8.210000,7.800000
2019Feb,3.210000,8.150000,7.760000
2019Mar,3.190000,7.940000,7.660000
2019Apr,3.160000,7.720000,7.610000
2019May,3.130000,7.430000,7.570000
2019Jun,3.110000,7.200000,7.540000
2019Jul,3.110000,7.310000,7.580000
2019Aug,3.120000,7.260000,7.530000
2019Sep,3.150000,7.360000,7.520000
2019Oct,3.190000,7.430000,7.450000
2019Nov,3.220000,7.440000,7.420000
2019Dec,3.230000,7.380000,7.400000
2020Jan,3.220000,7.740000,7.390000
